TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2018,12,4,13,25,8XX E 7TH AVE,Mount Pleasant,493710.1463,5456846.757
Break and Enter Commercial,2018,5,7,17,30,8XX E CORDOVA ST,Strathcona,493778.5126,5458857.061
Break and Enter Commercial,2018,11,19,0,17,8XX E HASTINGS ST,Strathcona,493784.7651,5458708.422
Break and Enter Commercial,2018,9,28,2,55,8XX E HASTINGS ST,Strathcona,493787.7671,5458699.175
Break and Enter Commercial,2018,6,12,4,37,8XX GRANVILLE ST,Central Business District,491188.6507,5458637.402
Break and Enter Commercial,2018,6,17,0,0,8XX GRANVILLE ST,Central Business District,491204.0863,5458652.952
Break and Enter Commercial,2018,7,25,0,40,8XX GRANVILLE ST,Central Business District,491204.0863,5458652.952
Break and Enter Commercial,2018,3,31,7,19,8XX GRANVILLE ST,Central Business District,491252.5984,5458701.825
Break and Enter Commercial,2018,5,30,3,10,8XX GRANVILLE ST,Central Business District,491252.5984,5458701.825
Break and Enter Commercial,2018,11,5,23,0,8XX GRANVILLE ST,Central Business District,491257.1342,5458719.374
Break and Enter Commercial,2018,1,14,18,42,8XX HAMILTON ST,Central Business District,491470.4846,5458354.674
Break and Enter Commercial,2018,11,20,19,0,8XX HOMER ST,Central Business District,491433.0262,5458458.017
Break and Enter Commercial,2018,10,15,2,50,8XX HOMER ST,Central Business District,491437.4823,5458475.484
Break and Enter Commercial,2018,11,15,3,28,8XX HOMER ST,Central Business District,491437.4823,5458475.484
Break and Enter Commercial,2018,6,5,12,30,8XX HOMER ST,Central Business District,491457.1834,5458495.327
Break and Enter Commercial,2018,3,18,20,0,8XX HOMER ST,Central Business District,491492.1295,5458517.546
Break and Enter Commercial,2018,4,12,4,31,8XX HOMER ST,Central Business District,491492.1295,5458517.546
Break and Enter Commercial,2018,4,13,5,0,8XX HORNBY ST,Central Business District,491065.7488,5458810.602
Break and Enter Commercial,2018,9,25,5,21,8XX HORNBY ST,Central Business District,491088.2834,5458833.372
Break and Enter Commercial,2018,12,31,12,11,8XX HORNBY ST,Central Business District,491088.2834,5458833.372
Break and Enter Commercial,2018,6,21,19,0,8XX HORNBY ST,Central Business District,491122.0853,5458867.527
Break and Enter Commercial,2018,7,11,23,51,8XX HORNBY ST,Central Business District,491122.0853,5458867.527
Break and Enter Commercial,2018,9,12,14,9,8XX HOWE ST,Central Business District,491166.5753,5458763.629
Break and Enter Commercial,2018,9,26,0,11,8XX HOWE ST,Central Business District,491166.5753,5458763.629
Break and Enter Commercial,2018,10,8,22,30,8XX HOWE ST,Central Business District,491166.5753,5458763.629
Break and Enter Commercial,2018,1,17,21,0,8XX JERVIS ST,West End,490607.1377,5459329.483
Break and Enter Commercial,2018,3,27,0,0,8XX JERVIS ST,West End,490607.1377,5459329.483
Break and Enter Commercial,2018,12,14,22,0,8XX JERVIS ST,West End,490607.1377,5459329.483
Break and Enter Commercial,2018,2,13,4,10,8XX NELSON ST,Central Business District,490915.2169,5458637.933
Break and Enter Commercial,2018,12,5,16,0,8XX NELSON ST,Central Business District,490967.7972,5458584.376
Break and Enter Commercial,2018,9,24,22,0,8XX NICOLA ST,West End,490426.1949,5459508.489
Break and Enter Commercial,2018,3,16,15,30,8XX PACIFIC ST,Central Business District,490453.6565,5458174.775
Break and Enter Commercial,2018,6,10,15,0,8XX PACIFIC ST,Central Business District,490502.234,5458128.375
Break and Enter Commercial,2018,8,29,4,5,8XX POWELL ST,Strathcona,493814.3409,5458905.673
Break and Enter Commercial,2018,6,1,18,30,8XX RENFREW ST,Hastings-Sunrise,496796.4574,5458295.794
Break and Enter Commercial,2018,9,4,0,0,8XX SALSBURY DR,Grandview-Woodland,495022.5164,5458220.356
Break and Enter Commercial,2018,5,18,1,28,8XX SEYMOUR ST,Central Business District,491316.8667,5458632.898
Break and Enter Commercial,2018,7,23,22,15,8XX SEYMOUR ST,Central Business District,491316.8667,5458632.898
Break and Enter Commercial,2018,8,25,23,0,8XX SEYMOUR ST,Central Business District,491316.8667,5458632.898
Break and Enter Commercial,2018,3,20,23,55,8XX STATION ST,Strathcona,492802.3293,5458219.929
Break and Enter Commercial,2018,11,15,17,46,8XX TERMINAL AVE,Strathcona,493784.1126,5457522.549
Break and Enter Commercial,2018,2,11,22,31,8XX THURLOW ST,West End,490912.9139,5459100.525
Break and Enter Commercial,2018,5,26,1,0,8XX W 10TH AVE,Fairview,491024.0564,5456636.392
Break and Enter Commercial,2018,9,21,13,0,8XX W 12TH AVE,Fairview,491088.6106,5456421.429
Break and Enter Commercial,2018,12,3,19,0,8XX W 41ST AVE,South Cambie,490961.439,5453466.57
Break and Enter Commercial,2018,12,15,22,0,8XX W 8TH AVE,Fairview,490976.5464,5456838.708
Break and Enter Commercial,2018,3,29,3,5,8XX W BROADWAY AVE,Fairview,491062.8241,5456742.475
Break and Enter Commercial,2018,9,24,12,16,8XX W GEORGIA ST,Central Business District,491279.7136,5459000.014
Break and Enter Commercial,2018,11,15,11,44,8XX W GEORGIA ST,Central Business District,491279.7136,5459000.014
Break and Enter Commercial,2018,12,2,14,30,8XX W GEORGIA ST,Central Business District,491279.7136,5459000.014
Break and Enter Commercial,2018,12,29,2,20,8XX W GEORGIA ST,Central Business District,491336.6087,5458942.07
Break and Enter Commercial,2018,7,8,20,35,8XX W HASTINGS ST,Central Business District,491608.1724,5459285.793
Break and Enter Commercial,2018,1,8,7,0,8XX W PENDER ST,Central Business District,491570.9721,5459173.822
Break and Enter Commercial,2018,1,15,18,30,90XX SHAUGHNESSY ST,Marpole,490747.3547,5450042.444
Break and Enter Commercial,2018,9,29,13,0,92XX OAK ST,Marpole,490761.2208,5449838.718
Break and Enter Commercial,2018,9,14,16,0,9X ALEXANDER ST,Central Business District,492557.3209,5459000.806
Break and Enter Commercial,2018,5,31,1,20,9X E 11TH AVE,Mount Pleasant,492487.3649,5456487.181
Break and Enter Commercial,2018,5,20,0,15,9X E 1ST AVE,Mount Pleasant,492514.7709,5457498.848
Break and Enter Commercial,2018,1,7,5,8,9X KEEFER PL,Central Business District,492174.0475,5458550.911
Break and Enter Commercial,2018,6,3,23,37,9X PACIFIC BLVD,Central Business District,492233.6913,5458262.808
Break and Enter Commercial,2018,2,21,3,4,9X W PENDER ST,Central Business District,492180.9865,5458710.068
Break and Enter Commercial,2018,12,23,11,11,9X W PENDER ST,Central Business District,492183.8782,5458709.273
Break and Enter Commercial,2018,3,14,3,16,9XX BEACH AVE,Central Business District,490330.956,5458081.212
Break and Enter Commercial,2018,1,18,23,0,9XX BEACH AVE,Central Business District,490339.5715,5458085.568
Break and Enter Commercial,2018,7,7,17,0,9XX BEACH AVE,Central Business District,490339.5715,5458085.568
Break and Enter Commercial,2018,11,13,20,14,9XX BEATTY ST,Central Business District,491494.1126,5458112.258
Break and Enter Commercial,2018,3,14,10,30,9XX BEATTY ST,Central Business District,491546.8477,5458164.582
Break and Enter Commercial,2018,10,30,6,12,9XX CANADA PL,Central Business District,491607.648,5459491.133
Break and Enter Commercial,2018,8,12,11,51,9XX CANADA PL,Central Business District,491688.0605,5459446.975
Break and Enter Commercial,2018,2,17,16,0,9XX CHILCO ST,West End,489850.0543,5459996.872
Break and Enter Commercial,2018,3,15,14,30,9XX CHILCO ST,West End,489850.0543,5459996.872
Break and Enter Commercial,2018,4,3,5,35,9XX COMMERCIAL DR,Grandview-Woodland,494940.1238,5458164.863
Break and Enter Commercial,2018,4,10,7,0,9XX COMMERCIAL DR,Grandview-Woodland,494942.0656,5458206.835
Break and Enter Commercial,2018,2,5,0,0,9XX COOPERAGE WAY,Central Business District,491697.1694,5457897.507
Break and Enter Commercial,2018,12,18,5,53,9XX DAVIE ST,Central Business District,490680.8232,5458419.361
Break and Enter Commercial,2018,2,19,5,15,9XX DENMAN ST,West End,489957.4887,5459678.103
Break and Enter Commercial,2018,3,19,11,45,9XX DRAKE ST,Central Business District,490521.5627,5458332.776
Break and Enter Commercial,2018,5,12,5,45,9XX DUNSMUIR ST,Central Business District,491391.4861,5459142.578
Break and Enter Commercial,2018,11,16,5,0,9XX DUNSMUIR ST,Central Business District,491391.4861,5459142.578
Break and Enter Commercial,2018,7,4,11,36,9XX E HASTINGS ST,Strathcona,493870.7475,5458696.324
Break and Enter Commercial,2018,3,10,16,53,9XX E HASTINGS ST,Strathcona,493891.0902,5458704.732
Break and Enter Commercial,2018,9,25,13,34,9XX E HASTINGS ST,Strathcona,493891.0902,5458704.732
Break and Enter Commercial,2018,11,9,15,7,9XX E HASTINGS ST,Strathcona,493891.0902,5458704.732
Break and Enter Commercial,2018,12,7,12,14,9XX E HASTINGS ST,Strathcona,493891.0902,5458704.732
Break and Enter Commercial,2018,12,13,0,1,9XX E HASTINGS ST,Strathcona,493891.0902,5458704.732
Break and Enter Commercial,2018,8,12,13,0,9XX E HASTINGS ST,Strathcona,493901.0949,5458704.367
Break and Enter Commercial,2018,1,11,1,38,9XX E HASTINGS ST,Strathcona,493927.774,5458703.394
Break and Enter Commercial,2018,2,24,3,49,9XX EVANS AVE,Strathcona,493987.4562,5457582.97
Break and Enter Commercial,2018,4,29,21,20,9XX EVANS AVE,Strathcona,493987.4562,5457582.97
Break and Enter Commercial,2018,7,12,1,36,9XX EVANS AVE,Strathcona,493987.4562,5457582.97
Break and Enter Commercial,2018,12,25,20,10,9XX EXPO BLVD,Central Business District,491569.7806,5458020.575
Break and Enter Commercial,2018,10,24,4,47,9XX GILFORD ST,West End,489803.3784,5459751.098
Break and Enter Commercial,2018,3,4,11,23,9XX GRANVILLE ST,Central Business District,491069.2787,5458518.7
Break and Enter Commercial,2018,2,18,9,17,9XX GRANVILLE ST,Central Business District,491141.0947,5458602.867
Break and Enter Commercial,2018,9,29,17,30,9XX HEATLEY AVE,Strathcona,493477.2056,5458204.315
Break and Enter Commercial,2018,7,31,12,25,9XX HOMER ST,Central Business District,491352.9132,5458377.248
Break and Enter Commercial,2018,8,15,16,0,9XX HORNBY ST,Central Business District,490984.4345,5458729.565
Break and Enter Commercial,2018,9,15,6,34,9XX HOWE ST,Central Business District,491005.3113,5458601.133
Break and Enter Commercial,2018,11,12,14,33,9XX HOWE ST,Central Business District,491005.3113,5458601.133
Break and Enter Commercial,2018,4,20,9,44,9XX HOWE ST,Central Business District,491052.3638,5458649.242
Break and Enter Commercial,2018,2,21,11,38,9XX JERVIS ST,West End,490437.8157,5459159.297
Break and Enter Commercial,2018,8,20,2,4,9XX JERVIS ST,West End,490459.9175,5459181.457
Break and Enter Commercial,2018,8,27,5,30,9XX JERVIS ST,West End,490460.8535,5459182.396
Break and Enter Commercial,2018,5,6,2,54,9XX JERVIS ST,West End,490512.2612,5459233.607
Break and Enter Commercial,2018,5,10,10,11,9XX JERVIS ST,West End,490512.2612,5459233.607
Break and Enter Commercial,2018,9,6,7,37,9XX KINGSWAY AVE,Kensington-Cedar Cottage,493868.6132,5455701.103
Break and Enter Commercial,2018,2,20,4,25,9XX KINGSWAY AVE,Kensington-Cedar Cottage,493870.6938,5455699.607
Break and Enter Commercial,2018,4,8,19,0,9XX LAGOON DR,West End,489733.9229,5460037.555
Break and Enter Commercial,2018,9,14,21,13,9XX MAIN ST,Central Business District,492725.7598,5458184.397
Break and Enter Commercial,2018,6,1,4,0,9XX MAIN ST,Central Business District,492726.1723,5458200.185
Break and Enter Commercial,2018,8,5,16,54,9XX MAIN ST,Strathcona,492745.3985,5458172.801
Break and Enter Commercial,2018,9,8,5,12,9XX MAIN ST,Strathcona,492745.3985,5458172.801
Break and Enter Commercial,2018,12,26,2,44,9XX MAIN ST,Strathcona,492745.9994,5458195.926
Break and Enter Commercial,2018,2,16,0,0,9XX MAINLAND ST,Central Business District,491440.4645,5458329.841
Break and Enter Commercial,2018,8,30,0,0,9XX MAINLAND ST,Central Business District,491440.4645,5458329.841
Break and Enter Commercial,2018,1,19,19,0,9XX MCLEAN DR,Grandview-Woodland,494597.3755,5458217.328
Break and Enter Commercial,2018,1,18,0,0,9XX NICOLA ST,West End,490313.3428,5459407.983
Break and Enter Commercial,2018,12,18,20,50,9XX PACIFIC BLVD,Central Business District,491665.1493,5457948.014
Break and Enter Commercial,2018,6,7,16,55,9XX POWELL ST,Strathcona,493947.9759,5458880.797
Break and Enter Commercial,2018,10,15,22,0,9XX POWELL ST,Strathcona,493951.5208,5458870.281
Break and Enter Commercial,2018,12,15,4,13,9XX RICHARDS ST,Central Business District,491204.6667,5458383.655
Break and Enter Commercial,2018,4,1,0,41,9XX RICHARDS ST,Central Business District,491211.1786,5458377.235
Break and Enter Commercial,2018,4,1,4,31,9XX RICHARDS ST,Central Business District,491211.1786,5458377.235
Break and Enter Commercial,2018,1,29,8,40,9XX RICHARDS ST,Central Business District,491227.0639,5458406.375
Break and Enter Commercial,2018,5,28,4,34,9XX RICHARDS ST,Central Business District,491227.0639,5458406.375
Break and Enter Commercial,2018,3,17,19,40,9XX STATION ST,Strathcona,492790.7499,5458142.566
Break and Enter Commercial,2018,8,1,4,50,9XX STATION ST,Strathcona,492790.7499,5458142.566
Break and Enter Commercial,2018,8,13,4,19,9XX SW MARINE DR,Marpole,490586.5398,5450253.105
Break and Enter Commercial,2018,9,14,8,30,9XX SW MARINE DR,Marpole,490586.5398,5450253.105
Break and Enter Commercial,2018,1,7,8,0,9XX VICTORIA DR,Grandview-Woodland,495221.9863,5458187.071
Break and Enter Commercial,2018,11,14,8,53,9XX W 13TH AVE,Fairview,490918.0039,5456327.667
Break and Enter Commercial,2018,11,16,9,59,9XX W 13TH AVE,Fairview,490918.0039,5456327.667
Break and Enter Commercial,2018,8,20,22,0,9XX W 7TH AVE,Fairview,490883.0665,5456933.6
Break and Enter Commercial,2018,8,17,19,32,9XX W 7TH AVE,Fairview,490900.4239,5456942.304
Break and Enter Commercial,2018,6,15,0,1,9XX W 7TH AVE,Fairview,490938.0972,5456941.343
Break and Enter Commercial,2018,6,16,4,11,9XX W 7TH AVE,Fairview,490938.0972,5456941.343
Break and Enter Commercial,2018,4,20,8,30,9XX W 7TH AVE,Fairview,490951.5634,5456931.852
Break and Enter Commercial,2018,1,17,10,45,9XX W BROADWAY AVE,Fairview,490837.4553,5456749.121
Break and Enter Commercial,2018,11,22,0,15,9XX W BROADWAY AVE,Fairview,490847.6842,5456748.86
Break and Enter Commercial,2018,2,8,6,46,9XX W BROADWAY AVE,Fairview,490874.7283,5456739.024
Break and Enter Commercial,2018,6,29,1,0,9XX W BROADWAY AVE,Fairview,490874.7283,5456739.024
Break and Enter Commercial,2018,9,7,3,0,9XX W BROADWAY AVE,Fairview,490874.7283,5456739.024
Break and Enter Commercial,2018,9,7,3,30,9XX W BROADWAY AVE,Fairview,490874.801,5456739.022
Break and Enter Commercial,2018,4,16,8,34,9XX W BROADWAY AVE,Fairview,490932.692,5456737.547
Break and Enter Commercial,2018,1,10,4,26,9XX W GEORGIA ST,Central Business District,491250.3621,5459029.499
Break and Enter Commercial,2018,4,12,1,18,9XX W GEORGIA ST,Central Business District,491250.3621,5459029.499
Break and Enter Commercial,2018,8,14,0,0,9XX W GEORGIA ST,Central Business District,491260.6883,5459006.292
Break and Enter Commercial,2018,8,14,20,30,9XX W KING EDWARD AVE,South Cambie,490816.151,5455153.222
Break and Enter Commercial,2018,12,16,4,37,9XX W PENDER ST,Central Business District,491499.4034,5459255.117
Break and Enter Commercial,2018,1,1,22,6,EAST BLVD / W 46TH AVE,Kerrisdale,488702.4287,5453022.237
Break and Enter Commercial,2018,10,22,0,4,HARO ST / JERVIS ST,West End,490571.0055,5459291.899
Break and Enter Commercial,2018,5,28,16,0,HEATHER ST / W 10TH AVE,Fairview,491274.7031,5456625.837
Break and Enter Commercial,2018,10,28,8,11,MAIN ST / UNION ST,Central Business District,492733.6621,5458331.798
Break and Enter Commercial,2018,9,29,12,0,QUEBEC ST / UNION ST,Central Business District,492572.4805,5458325.909
Break and Enter Commercial,2018,11,14,9,4,X ALEXANDER ST,Central Business District,492433.9356,5458966.466
Break and Enter Commercial,2018,11,20,21,30,X ATHLETES WAY,Mount Pleasant,492388.4557,5457648.476
Break and Enter Commercial,2018,1,17,20,30,X E BROADWAY AVE,Mount Pleasant,492383.9812,5456703.818
Break and Enter Commercial,2018,2,11,3,0,X E CORDOVA ST,Central Business District,492422.0463,5458861.856
Break and Enter Commercial,2018,2,5,2,19,X POWELL ST,Central Business District,492442.0385,5458952.526
Break and Enter Commercial,2018,1,11,4,0,X W 7TH AVE,Mount Pleasant,492361.4337,5456889.225
Break and Enter Commercial,2018,3,21,20,51,X W 7TH AVE,Mount Pleasant,492361.4337,5456889.225
Break and Enter Commercial,2018,1,7,19,9,X W HASTINGS ST,Central Business District,492412.6782,5458756.645
Break and Enter Residential/Other,2018,5,18,7,16,10XX BOUNDARY RD,Hastings-Sunrise,498275.62,5458124.941
Break and Enter Residential/Other,2018,7,24,17,0,10XX BOUNDARY RD,Hastings-Sunrise,498275.62,5458124.941
Break and Enter Residential/Other,2018,8,25,15,0,10XX BOUNDARY RD,Hastings-Sunrise,498275.62,5458124.941
Break and Enter Residential/Other,2018,8,24,0,15,10XX BROUGHTON ST,West End,490233.2324,5459143.98
Break and Enter Residential/Other,2018,12,2,7,20,10XX BROUGHTON ST,West End,490263.0875,5459187.202
Break and Enter Residential/Other,2018,11,13,2,31,10XX BURNABY ST,West End,490393.6545,5458534.499
Break and Enter Residential/Other,2018,2,2,2,0,10XX BURNABY ST,West End,490439.9122,5458487.374
Break and Enter Residential/Other,2018,8,22,5,8,10XX BURNABY ST,West End,490519.906,5458418.933
Break and Enter Residential/Other,2018,2,17,17,0,10XX BURRARD ST,West End,490729.6302,5458622.139
Break and Enter Residential/Other,2018,9,21,13,37,10XX BURRARD ST,West End,490729.6302,5458622.139
Break and Enter Residential/Other,2018,8,15,1,52,10XX BURRARD ST,Central Business District,490729.9102,5458609.396
Break and Enter Residential/Other,2018,12,16,5,50,10XX COMMERCIAL DR,Grandview-Woodland,494946.4951,5458072.644
Break and Enter Residential/Other,2018,4,6,15,0,10XX CONNAUGHT DR,Shaughnessy,490647.4631,5454548.532
Break and Enter Residential/Other,2018,9,29,15,17,10XX CONNAUGHT DR,Shaughnessy,490647.4631,5454548.532
Break and Enter Residential/Other,2018,4,3,2,0,10XX E 10TH AVE,Mount Pleasant,494051.1447,5456518.775
Break and Enter Residential/Other,2018,11,10,22,0,10XX E 11TH AVE,Mount Pleasant,493964.3101,5456421.149
Break and Enter Residential/Other,2018,8,5,0,33,10XX E 11TH AVE,Mount Pleasant,494009.7597,5456420.701
Break and Enter Residential/Other,2018,10,11,9,43,10XX E 13TH AVE,Mount Pleasant,494024.5963,5456221.029
Break and Enter Residential/Other,2018,9,6,7,29,10XX E 17TH AVE,Kensington-Cedar Cottage,493931.4815,5455845.972
Break and Enter Residential/Other,2018,8,9,7,52,10XX E 20TH AVE,Kensington-Cedar Cottage,493910.2245,5455556.709
Break and Enter Residential/Other,2018,7,18,6,30,10XX E 28TH AVE,Kensington-Cedar Cottage,493914.8825,5454741.796
Break and Enter Residential/Other,2018,9,18,1,0,10XX E 51ST AVE,Sunset,493901.9487,5452306.937
Break and Enter Residential/Other,2018,8,5,17,30,10XX E 53RD AVE,Sunset,493896.6409,5452130.572
Break and Enter Residential/Other,2018,12,7,16,30,10XX E 55TH AVE,Sunset,493932.6661,5451903.002
Break and Enter Residential/Other,2018,9,27,1,0,10XX E 56TH AVE,Sunset,493852.2881,5451803.744
Break and Enter Residential/Other,2018,1,11,5,43,10XX GRANVILLE ST,Central Business District,490985.1428,5458433.13
Break and Enter Residential/Other,2018,5,10,5,30,10XX GRANVILLE ST,Central Business District,490985.1428,5458433.13
Break and Enter Residential/Other,2018,11,15,21,30,10XX GRANVILLE ST,Central Business District,490985.1428,5458433.13
Break and Enter Residential/Other,2018,12,23,1,22,10XX GRANVILLE ST,Central Business District,491006.3571,5458467.897
Break and Enter Residential/Other,2018,7,24,18,50,10XX HARWOOD ST,West End,490371.0019,5458415.284
Break and Enter Residential/Other,2018,12,31,17,28,10XX HOMER ST,Central Business District,491205.1947,5458240.585
Break and Enter Residential/Other,2018,3,15,1,44,10XX HOWE ST,Central Business District,490911.7414,5458505.492
Break and Enter Residential/Other,2018,8,17,18,26,10XX JERVIS ST,West End,490308.1003,5459032.442
Break and Enter Residential/Other,2018,4,2,12,0,10XX LAGOON DR,Stanley Park,489311.1176,5460044.465
Break and Enter Residential/Other,2018,4,28,13,12,10XX MARINASIDE CRES,Central Business District,491399.9852,5457863.314
Break and Enter Residential/Other,2018,12,26,10,22,10XX MARINASIDE CRES,Central Business District,491543.9092,5457836.086
Break and Enter Residential/Other,2018,6,18,0,0,10XX MATTHEWS AVE,Shaughnessy,490554.0733,5455688.17
Break and Enter Residential/Other,2018,3,4,9,45,10XX NANTON AVE,Shaughnessy,490678.0353,5454850.552
Break and Enter Residential/Other,2018,10,25,15,33,10XX PACIFIC ST,West End,490258.8902,5458368.303
Break and Enter Residential/Other,2018,7,31,11,15,10XX PACIFIC ST,West End,490285.016,5458342.426
Break and Enter Residential/Other,2018,9,28,0,0,10XX PARK DR,Marpole,490518.9815,5451314.843
Break and Enter Residential/Other,2018,6,29,17,40,10XX QUEBEC ST,Central Business District,492586.9351,5458039.394
Break and Enter Residential/Other,2018,12,8,22,5,10XX SEYMOUR ST,Central Business District,491035.1506,5458335.945
Break and Enter Residential/Other,2018,4,19,20,47,10XX SEYMOUR ST,Central Business District,491083.0578,5458397.694
Break and Enter Residential/Other,2018,5,31,23,55,10XX SLOCAN ST,Hastings-Sunrise,496404.3162,5458094.615
Break and Enter Residential/Other,2018,2,18,16,30,10XX W 12TH AVE,Fairview,490746.9564,5456423.607
Break and Enter Residential/Other,2018,6,6,23,32,10XX W 15TH AVE,Fairview,490631.7715,5456122.777
Break and Enter Residential/Other,2018,10,11,11,42,10XX W 15TH AVE,Fairview,490697.5912,5456121.089
Break and Enter Residential/Other,2018,2,13,8,0,10XX W 15TH AVE,Fairview,490700.583,5456121.013
Break and Enter Residential/Other,2018,3,16,22,6,10XX W 45TH AVE,Oakridge,490501.8854,5453060.631
Break and Enter Residential/Other,2018,12,17,6,0,10XX W 45TH AVE,Oakridge,490548.0775,5453058.049
Break and Enter Residential/Other,2018,4,7,11,15,10XX W 46TH AVE,Oakridge,490493.9525,5452960.849
Break and Enter Residential/Other,2018,6,9,12,21,10XX W 48TH AVE,Oakridge,490630.0093,5452748.542
Break and Enter Residential/Other,2018,10,16,3,30,10XX W 54TH AVE,Oakridge,490625.2137,5452086.945
Break and Enter Residential/Other,2018,4,28,18,20,10XX W 55TH AVE,Oakridge,490639.1281,5451981.537
Break and Enter Residential/Other,2018,11,17,21,21,10XX W 58TH AVE,Marpole,490533.4682,5451716.818
Break and Enter Residential/Other,2018,2,4,23,30,10XX W 64TH AVE,Marpole,490517.6044,5451145.374
Break and Enter Residential/Other,2018,2,25,17,0,10XX W 64TH AVE,Marpole,490517.6044,5451145.374
Break and Enter Residential/Other,2018,3,3,20,0,10XX W 64TH AVE,Marpole,490517.6044,5451145.374
Break and Enter Residential/Other,2018,11,8,6,30,10XX W 70TH AVE,Marpole,490463.3599,5450635.872
Break and Enter Residential/Other,2018,8,3,20,0,10XX W 8TH AVE,Fairview,490679.0433,5456855.344
Break and Enter Residential/Other,2018,8,14,18,55,10XX W 8TH AVE,Fairview,490718.652,5456845.298
Break and Enter Residential/Other,2018,9,18,16,19,10XX W BROADWAY AVE,Fairview,490732.4544,5456742.656
Break and Enter Residential/Other,2018,4,5,6,56,10XX W KING EDWARD AVE,Shaughnessy,490657.4906,5455187.081
Break and Enter Residential/Other,2018,6,2,11,0,10XX W KING EDWARD AVE,Shaughnessy,490657.4906,5455187.081
Break and Enter Residential/Other,2018,6,22,17,0,10XX W KING EDWARD AVE,Shaughnessy,490657.4906,5455187.081
Break and Enter Residential/Other,2018,3,17,7,2,10XX WINDERMERE ST,Hastings-Sunrise,497351.5698,5458018.399
Break and Enter Residential/Other,2018,3,1,0,0,11XX ALBERNI ST,West End,490986.55,5459207.894
Break and Enter Residential/Other,2018,7,30,22,30,11XX BARCLAY ST,West End,490727.7276,5458995.682
Break and Enter Residential/Other,2018,3,23,15,30,11XX BURNABY ST,West End,490296.5923,5458630.131
Break and Enter Residential/Other,2018,6,30,15,0,11XX BURNABY ST,West End,490352.1478,5458575.737
Break and Enter Residential/Other,2018,12,19,6,50,11XX BUTE ST,West End,490365.1763,5458859.892
Break and Enter Residential/Other,2018,5,16,5,54,11XX CONNAUGHT DR,Shaughnessy,490401.0544,5454585.825
Break and Enter Residential/Other,2018,3,3,17,0,11XX CONNAUGHT DR,Shaughnessy,490476.5191,5454558.363
Break and Enter Residential/Other,2018,11,4,3,0,11XX CYPRESS ST,Kitsilano,489262.6288,5458146.978
Break and Enter Residential/Other,2018,3,12,18,30,11XX E 11TH AVE,Mount Pleasant,494113.8089,5456419.391
Break and Enter Residential/Other,2018,9,20,22,0,11XX E 19TH AVE,Kensington-Cedar Cottage,494061.0461,5455654.085
Break and Enter Residential/Other,2018,1,27,12,3,11XX E 19TH AVE,Kensington-Cedar Cottage,494125.084,5455652.429
Break and Enter Residential/Other,2018,8,2,14,0,11XX E 43RD AVE,Sunset,493991.4014,5453131.159
Break and Enter Residential/Other,2018,3,7,5,53,11XX E 7TH AVE,Mount Pleasant,494114.0493,5456832.198
Break and Enter Residential/Other,2018,3,14,7,30,11XX E BROADWAY AVE,Mount Pleasant,494156.7966,5456635.657
Break and Enter Residential/Other,2018,9,23,18,59,11XX E GEORGIA ST,Strathcona,494163.5632,5458383.99
Break and Enter Residential/Other,2018,3,28,12,0,11XX E HASTINGS ST,Strathcona,494194.8243,5458692.599
Break and Enter Residential/Other,2018,8,16,14,0,11XX FRANKLIN ST,Strathcona,494139.1409,5458847
Break and Enter Residential/Other,2018,12,12,3,39,11XX FRANKLIN ST,Strathcona,494139.1409,5458847
Break and Enter Residential/Other,2018,3,11,22,0,11XX GARDEN DR,Grandview-Woodland,495790.9176,5457941.585
Break and Enter Residential/Other,2018,1,2,3,0,11XX GRANVILLE ST,Central Business District,490863.6588,5458323.199
Break and Enter Residential/Other,2018,8,9,20,0,11XX GRANVILLE ST,Central Business District,490863.6588,5458323.199
Break and Enter Residential/Other,2018,12,20,2,34,11XX GRANVILLE ST,Central Business District,490864.1779,5458323.721
Break and Enter Residential/Other,2018,6,10,9,26,11XX HARWOOD ST,West End,490277.1441,5458509.956
Break and Enter Residential/Other,2018,10,19,7,0,11XX HORNBY ST,Central Business District,490765.3084,5458508.256
Break and Enter Residential/Other,2018,3,10,1,31,11XX HORNBY ST,Central Business District,490766.7331,5458509.733
Break and Enter Residential/Other,2018,7,14,18,7,11XX HORNBY ST,Central Business District,490766.7331,5458509.733
Break and Enter Residential/Other,2018,9,15,17,6,11XX HORNBY ST,Central Business District,490766.7331,5458509.733
Break and Enter Residential/Other,2018,9,18,0,0,11XX HORNBY ST,Central Business District,490766.7331,5458509.733
Break and Enter Residential/Other,2018,10,1,6,48,11XX HORNBY ST,Central Business District,490766.7331,5458509.733
Break and Enter Residential/Other,2018,11,13,17,15,11XX HORNBY ST,Central Business District,490766.7331,5458509.733
Break and Enter Residential/Other,2018,12,27,9,19,11XX HORNBY ST,Central Business District,490766.7331,5458509.733
Break and Enter Residential/Other,2018,9,9,17,30,11XX KEEFER ST,Strathcona,494118.2757,5458493.047
Break and Enter Residential/Other,2018,3,12,19,32,11XX KEEFER ST,Strathcona,494127.1057,5458493.03
Break and Enter Residential/Other,2018,6,21,1,10,11XX LAURIER AVE,Shaughnessy,490430.915,5455331.403
Break and Enter Residential/Other,2018,1,30,18,45,11XX LAURIER AVE,Shaughnessy,490431.1703,5455340.543
